,POS,TEAM,GP,W,D,L,GF,GA,GD,PTS
0,1,Arsenal,17,11,3,3,33,17,+16,36
1,2,Manchester City,16,10,3,3,30,14,+16,33
2,3,Newcastle Utd,17,8,6,3,29,16,+13,30
3,4,Brighton,16,7,4,5,30,26,+4,25
4,5,Manchester Utd,16,7,3,6,21,31,-10,24
5,6,Aston Villa,17,6,4,7,17,23,-6,22
6,7,Fulham,16,6,2,8,21,21,0,20
7,8,Tottenham,17,5,5,7,28,35,-7,20
8,9,Liverpool,17,5,4,8,22,26,-4,19
9,10,Brentford,17,4,7,6,20,26,-6,19
10,11,Bournemouth,17,5,2,10,17,40,-23,17
11,12,Crystal Palace,17,4,4,9,17,23,-6,16
12,13,Chelsea,15,4,4,7,13,19,-6,16
13,14,Leicester City,17,4,2,11,25,36,-11,14
14,15,Southampton,17,4,2,11,13,29,-16,14
15,16,West Ham Utd,16,3,3,10,15,24,-9,12
16,17,Wolverhampton,17,2,5,10,12,31,-19,11
17,18,Everton,16,1,7,8,10,26,-16,10
18,19,Leeds Utd,17,2,3,12,20,36,-16,9
19,20,Nottm Forest,17,1,3,13,8,41,-33,6
