,POS,TEAM,GP,W,D,L,GF,GA,GD,PTS
0,1,Manchester City,4,4,0,0,13,4,+9,12
1,2,Liverpool,4,4,0,0,15,7,+8,12
2,3,Manchester Utd,4,3,1,0,7,2,+5,10
3,4,Newcastle Utd,4,3,0,1,13,6,+7,9
4,5,Bournemouth,4,3,0,1,8,7,+1,9
5,6,Aston Villa,4,2,1,1,5,2,+3,7
6,7,Crystal Palace,4,2,1,1,6,5,+1,7
7,8,Brentford,4,2,1,1,5,4,+1,7
8,9,Brighton,4,2,0,2,10,6,+4,6
9,10,Fulham,4,2,0,2,6,5,+1,6
10,11,Wolverhampton,4,2,0,2,5,8,-3,6
11,12,West Ham Utd,4,1,1,2,10,8,+2,4
12,13,Leicester City,4,1,1,2,4,6,-2,4
13,14,Nottm Forest,4,1,0,3,6,8,-2,3
14,15,Arsenal,4,0,3,1,8,11,-3,3
15,16,Chelsea,4,0,1,3,1,5,-4,1
16,17,Southampton,4,0,1,3,4,9,-5,1
17,18,Tottenham,4,0,1,3,8,15,-7,1
18,19,Everton,4,0,1,3,2,9,-7,1
19,20,Leeds Utd,4,0,1,3,4,13,-9,1
